iter	Passed	Remaining
0	10	10935
1	22	11348
2	34	11331
3	44	10994
4	54	10763
5	64	10733
6	75	10664
7	84	10538
8	95	10475
9	106	10536
10	116	10461
11	126	10397
12	136	10355
13	146	10288
14	155	10212
15	165	10172
16	174	10111
17	185	10112
18	195	10092
19	204	10042
20	216	10086
21	225	10037
22	235	10022
23	245	9995
24	256	9997
25	272	10189
26	283	10218
27	293	10189
28	303	10163
29	314	10163
30	324	10145
31	334	10112
32	344	10097
33	354	10073
34	364	10049
35	374	10031
36	384	10015
37	394	9981
38	404	9965
39	414	9939
40	423	9914
41	433	9882
42	445	9918
43	460	9998
44	471	10012
45	482	10008
46	493	9996
47	502	9964
48	513	9963
49	523	9940
50	532	9916
51	543	9911
52	553	9893
53	563	9868
54	573	9848
55	583	9828
56	592	9805
57	602	9781
58	614	9798
59	624	9784
60	634	9774
61	645	9758
62	654	9739
63	665	9736
64	676	9727
65	685	9703
66	695	9691
67	706	9684
68	716	9671
69	726	9655
70	736	9641
71	747	9634
72	757	9625
73	768	9619
74	778	9598
75	792	9630
76	802	9621
77	812	9606
78	822	9589
79	832	9575
80	843	9567
81	853	9554
82	863	9538
83	874	9536
84	885	9533
85	896	9524
86	906	9508
87	915	9491
88	926	9481
89	936	9471
90	946	9450
91	955	9429
92	966	9421
93	975	9397
94	984	9382
95	995	9376
96	1006	9373
97	1017	9363
98	1028	9357
99	1038	9348
100	1047	9327
101	1058	9316
102	1068	9307
103	1078	9293
104	1088	9274
105	1097	9255
106	1107	9239
107	1117	9228
108	1126	9209
109	1136	9192
110	1145	9177
111	1155	9160
112	1165	9145
113	1175	9132
114	1185	9119
115	1193	9098
116	1203	9083
117	1213	9073
118	1223	9056
119	1233	9045
120	1244	9040
121	1254	9026
122	1263	9011
123	1274	9003
124	1285	8995
125	1294	8980
126	1304	8968
127	1314	8955
128	1324	8945
129	1334	8931
130	1344	8917
131	1353	8899
132	1364	8891
133	1372	8871
134	1381	8854
135	1390	8833
136	1399	8818
137	1409	8805
138	1419	8791
139	1428	8775
140	1438	8762
141	1448	8750
142	1457	8734
143	1467	8722
144	1476	8709
145	1486	8695
146	1497	8688
147	1507	8676
148	1516	8659
149	1526	8650
150	1536	8636
151	1545	8621
152	1555	8609
153	1564	8594
154	1573	8576
155	1582	8561
156	1592	8551
157	1601	8536
158	1611	8524
159	1620	8508
160	1629	8494
161	1639	8481
162	1648	8465
